BHCMIS.ID,Year,T6B_L1_CSAA,T6B_L2_CSAA,T6B_L3_CSAA,T6B_L4_CSAA,T6B_L5_CSAA,T6B_L6_CSAA,T6B_L7_CSBA,T6B_L8_CSBA,T6B_L9_CSBA,T6B_L7_CSBB,T6B_L8_CSBB,T6B_L9_CSBB,T6B_L10_CSCA,T6B_L10_CSCB,T6B_L10_CSCC,T6B_L11_CSDA,T6B_L11_CSDB,T6B_L11_CSDC,T6B_L10_N_CC,T6B_L10_D_CC,T6B_L11_N_CC,T6B_L11_D_CC,T6B_L1_CA,T6B_L2_CA,T6B_L3_CA,T6B_L4_CA,T6B_L5_CA,T6B_L6_CA,T6B_L7_CA,T6B_L7_CB,T6B_L8_CA,T6B_L8_CB,T6B_L9_CA,T6B_L9_CB,T6B_L10_CA,T6B_L10_CB,T6B_L10_CC,T6B_L11_CA,T6B_L11_CB,T6B_L11_CC,T6B_L12_CA,T6B_L12_CB,T6B_L12_CC,T6B_L13_CA,T6B_L13_CB,T6B_L13_CC,T6B_L14_CA,T6B_L14_CB,T6B_L14_CC,T6B_L15_CA,T6B_L15_CB,T6B_L15_CC,T6B_L16_CA,T6B_L16_CB,T6B_L16_CC
1,2008,5,197,371,534,0,1107,856,198,11,3,24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2008,0,2,1,4,0,7,5,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2008,16,393,858,1407,4,2678,1847,658,173,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2008,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2008,0,62,129,119,0,310,33,35,10,185,39,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2008,0,7,24,31,0,62,34,10,1,13,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2008,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2008,1,43,103,109,1,257,47,98,48,36,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2008,0,1,10,28,0,39,29,7,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2008,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
