Year,GranteeID,LongGrantID,ModernGranteeID,Race,Ethnicity,htn.total,htn.control,dm.total,dm.controlled
2009,431,6C55E285-1600-49E5-A364-5E99EAAB0746,H80CS00001, Total,Total,184,99.88571428571429,114,55.371428571428574
2009,580,FDF06FF5-65CB-4697-8E31-808CF422A989,H80CS00002, Total,Total,64,39,37,25
2009,539,B462C8D8-C758-4F05-A7A5-791DA79D7084,H80CS00003, Total,Total,213,146.05714285714285,88,65.37142857142857
2009,417,574256A7-B3EB-4ADB-AF2D-5ABBFC0AC7EA,H80CS00005, Total,Total,222,158.57142857142858,97,55.42857142857143
2009,43,5528FBA7-4E23-4B66-A57E-0A16DCFCBF4B,H80CS00006, Total,Total,2059,1261,1059,629
2009,303,ED45C9D3-F543-4306-9C02-41394C0738C0,H80CS00007, Total,Total,889,584.2,621,443.57142857142856
2009,601,238D232E-DC3A-4877-9C25-84F94DA5B137,H80CS00008, Total,Total,104,60.91428571428571,50,28
2009,803,DE7EC921-438C-4339-9744-B2E260F06EF4,H80CS00009, Total,Total,555,293.35714285714283,312,196.11428571428573
2009,655,76854BFE-2FF4-4A35-8B4E-926D8D914ED9,H80CS00010, Total,Total,98,49,47,19
2009,14,DFBCF628-4E7C-49AF-8498-027F4D6BF4D5,H80CS00011, Total,Total,530,336,330,249
2009,4,2BD12B96-E13A-4D6B-8202-012C414D78A7,H80CS00013, Total,Total,8,7,13,5
2009,59,E0A11F23-69BD-44DD-8EF7-0CF7352EA72F,H80CS00016, Total,Total,725,455.7142857142857,308,167.2
2009,843,C02996A2-FEDE-4713-A757-BC5BFB5F32E4,H80CS00017, Total,Total,1776,964.1142857142858,756,421.2
2009,874,16398CD1-A649-4FD4-BA7E-C26C116466E4,H80CS00018, Total,Total,744,563.3142857142857,419,239.42857142857142
2009,916,B96CAF81-E4B7-46A1-AC80-CC7160152B8B,H80CS00019, Total,Total,2268,907.2,1138,406.42857142857144
2009,581,B64F5597-8C16-4490-9698-80A0A0119994,H80CS00020, Total,Total,2173,1241.7142857142858,1890,1269
2009,1022,C1F6E8AE-3DC8-4B9C-9E6F-E45D363329CE,H80CS00022, Total,Total,1324,718.7428571428571,766,492.42857142857144
2009,1004,231DA5BF-B6C1-4E4B-8B9D-E07A207866C8,H80CS00023, Total,Total,194,85.91428571428571,99,57.98571428571429
2009,858,912985FB-3871-49DF-A5E5-BFF1DBF204A3,H80CS00024, Total,Total,224,108.8,116,61.31428571428572
2009,930,C3ECE8CD-1F26-4E81-9FDB-CFDA452D0CB2,H80CS00026, Total,Total,779,402,311,197
2009,250,C6E86ACE-193B-4B3F-99E1-36449DACDB0D,H80CS00027, Total,Total,50,23,104,50
2009,274,716A7B16-BD4D-46D0-A154-3A0C66E9B8E2,H80CS00028, Total,Total,169,79.67142857142858,89,25.428571428571427
2009,1086,76BC7E9F-72FE-4EBE-BE60-F4AD0B147FC3,H80CS00029, Total,Total,1186,694.6571428571428,614,421.0285714285714
2009,99,D3002F2E-C011-4155-8549-1556894DAA76,H80CS00030, Total,Total,1928,1211.8857142857144,920,762.2857142857143
2009,142,639C3B17-9ED8-422F-89C3-1D95957DECB3,H80CS00031, Total,Total,587,259.95714285714286,324,226.8
2009,1095,7AD1B7CE-C229-4B42-B002-F7157F96C56C,H80CS00033, Total,Total,3292,2680.6285714285714,1026,644.9142857142857
2009,382,02411805-7859-4B2B-B5A4-5230143DF661,H80CS00034, Total,Total,1254,788.2285714285714,575,443.57142857142856
2009,434,5FB9F948-EC51-48EA-94AE-600231099EDF,H80CS00035, Total,Total,96,24.685714285714287,73,41.714285714285715
2009,253,DCCF9ADC-D744-40E0-A240-36F7A9C9778B,H80CS00036, Total,Total,466,459.34285714285716,255,167.57142857142858
2009,517,FFAD066C-BF5F-4393-A550-720B4B730DCB,H80CS00037, Total,Total,209,131.37142857142857,54,37
2009,71,B55D6849-D4F8-44A7-8D03-0EBE883784B5,H80CS00038, Total,Total,345,221.78571428571428,169,103.81428571428572
